model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,2,2,84,s2_ax_median,s2_ax,median,0.005140077582076262
feature_random_forest_v1,42,2,2,85,s2_ay_median,s2_ay,median,0.004045322094745274
feature_random_forest_v1,42,2,2,86,s2_az_median,s2_az,median,0.004078111410613752
feature_random_forest_v1,42,2,2,87,s2_gx_median,s2_gx,median,0.0011935193098458953
feature_random_forest_v1,42,2,2,88,s2_gy_median,s2_gy,median,0.001218885327392391
feature_random_forest_v1,42,2,2,89,s2_gz_median,s2_gz,median,0.0013832559540831208
feature_random_forest_v1,42,2,2,90,s0_ax_energy,s0_ax,energy,0.004851759072274478
feature_random_forest_v1,42,2,2,91,s0_ay_energy,s0_ay,energy,0.0016714640813973599
feature_random_forest_v1,42,2,2,92,s0_az_energy,s0_az,energy,0.012793480528163773
feature_random_forest_v1,42,2,2,93,s0_gx_energy,s0_gx,energy,0.0007189553038335971
feature_random_forest_v1,42,2,2,94,s0_gy_energy,s0_gy,energy,0.007416150794158385
feature_random_forest_v1,42,2,2,95,s0_gz_energy,s0_gz,energy,0.0024730088391757363
feature_random_forest_v1,42,2,2,96,s1_ax_energy,s1_ax,energy,0.04460395829189554
feature_random_forest_v1,42,2,2,97,s1_ay_energy,s1_ay,energy,0.005347786865978592
feature_random_forest_v1,42,2,2,98,s1_az_energy,s1_az,energy,0.005896213630152294
feature_random_forest_v1,42,2,2,99,s1_gx_energy,s1_gx,energy,0.0011637219284853768
feature_random_forest_v1,42,2,2,100,s1_gy_energy,s1_gy,energy,0.0025176210636466113
feature_random_forest_v1,42,2,2,101,s1_gz_energy,s1_gz,energy,0.003222997744555564
feature_random_forest_v1,42,2,2,102,s2_ax_energy,s2_ax,energy,0.0019114567209032925
feature_random_forest_v1,42,2,2,103,s2_ay_energy,s2_ay,energy,0.0005445561106911663
feature_random_forest_v1,42,2,2,104,s2_az_energy,s2_az,energy,0.013147608986468343
feature_random_forest_v1,42,2,2,105,s2_gx_energy,s2_gx,energy,0.0020683347035823072
feature_random_forest_v1,42,2,2,106,s2_gy_energy,s2_gy,energy,0.012960784512230365
feature_random_forest_v1,42,2,2,107,s2_gz_energy,s2_gz,energy,0.0027196345579016084
feature_random_forest_v1,42,2,2,108,s0_ax_rms,s0_ax,rms,0.0043791961653399745
feature_random_forest_v1,42,2,2,109,s0_ay_rms,s0_ay,rms,0.0011625425630625635
feature_random_forest_v1,42,2,2,110,s0_az_rms,s0_az,rms,0.012333731596797213
feature_random_forest_v1,42,2,2,111,s0_gx_rms,s0_gx,rms,0.0010510940173116925
feature_random_forest_v1,42,2,2,112,s0_gy_rms,s0_gy,rms,0.006157284810352036
feature_random_forest_v1,42,2,2,113,s0_gz_rms,s0_gz,rms,0.002518246621849739
feature_random_forest_v1,42,2,2,114,s1_ax_rms,s1_ax,rms,0.04327551101159015
feature_random_forest_v1,42,2,2,115,s1_ay_rms,s1_ay,rms,0.001731819630089298
feature_random_forest_v1,42,2,2,116,s1_az_rms,s1_az,rms,0.005564944000074047
feature_random_forest_v1,42,2,2,117,s1_gx_rms,s1_gx,rms,0.0020198526432673907
feature_random_forest_v1,42,2,2,118,s1_gy_rms,s1_gy,rms,0.003427348289550292
feature_random_forest_v1,42,2,2,119,s1_gz_rms,s1_gz,rms,0.002645077755766397
feature_random_forest_v1,42,2,2,120,s2_ax_rms,s2_ax,rms,0.0017200025195078389
feature_random_forest_v1,42,2,2,121,s2_ay_rms,s2_ay,rms,0.0009192053380355124
feature_random_forest_v1,42,2,2,122,s2_az_rms,s2_az,rms,0.013613020374326625
feature_random_forest_v1,42,2,2,123,s2_gx_rms,s2_gx,rms,0.0029188302442074822
feature_random_forest_v1,42,2,2,124,s2_gy_rms,s2_gy,rms,0.01419213612597491
feature_random_forest_v1,42,2,2,125,s2_gz_rms,s2_gz,rms,0.003473199407729546
feature_random_forest_v1,42,2,2,126,s0_ax_ptp,s0_ax,ptp,0.003384369087170811
feature_random_forest_v1,42,2,2,127,s0_ay_ptp,s0_ay,ptp,0.0015735032166825876
feature_random_forest_v1,42,2,2,128,s0_az_ptp,s0_az,ptp,0.00913930202758212
feature_random_forest_v1,42,2,2,129,s0_gx_ptp,s0_gx,ptp,0.002677135791058026
feature_random_forest_v1,42,2,2,130,s0_gy_ptp,s0_gy,ptp,0.00468251023508108
feature_random_forest_v1,42,2,2,131,s0_gz_ptp,s0_gz,ptp,0.003769907051984629
feature_random_forest_v1,42,2,2,132,s1_ax_ptp,s1_ax,ptp,0.04147458446377783
